                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.42102,                0.36371,                0.97642,                0.96611,                0.99269,                0.99294,                0.96072,                 0.2895,                0.22975,                0.86319,              0.0073468,              0.0073468,              0.0073468
                    136,                0.42177,                0.34507,                 0.9885,                0.97932,                0.98299,                0.99284,                0.96451,                0.29082,                0.23151,                0.86411,               0.007327,               0.007327,               0.007327
                    137,                0.41494,                0.35844,                 0.9864,                0.97707,                0.98321,                0.99258,                0.96024,                0.29243,                0.22461,                0.87398,              0.0073072,              0.0073072,              0.0073072
                    138,                0.41536,                0.35168,                 0.9833,                0.97685,                0.98345,                0.99298,                0.96008,                0.29481,                0.23142,                0.87517,              0.0072874,              0.0072874,              0.0072874
                    139,                0.41432,                0.34926,                0.96601,                0.99071,                0.96707,                0.99202,                0.96464,                0.28696,                0.22682,                0.86713,              0.0072676,              0.0072676,              0.0072676
                    140,                0.40017,                0.34073,                0.97795,                0.98335,                 0.9697,                  0.993,                0.96237,                0.28643,                 0.2348,                0.86816,              0.0072478,              0.0072478,              0.0072478
                    141,                0.40335,                0.34979,                0.97382,                0.96226,                0.97636,                 0.9912,                0.95724,                0.28942,                0.25748,                0.86892,               0.007228,               0.007228,               0.007228
                    142,                0.41055,                 0.3503,                0.96876,                0.97434,                0.96721,                0.99269,                 0.9664,                0.27985,                 0.2439,                0.86327,              0.0072082,              0.0072082,              0.0072082
                    143,                0.40974,                0.35311,                0.96986,                0.97438,                0.98434,                 0.9929,                0.96333,                0.28608,                0.24485,                0.86779,              0.0071884,              0.0071884,              0.0071884
                    144,                0.40517,                0.33853,                0.97496,                0.96392,                0.99252,                 0.9926,                 0.9646,                0.28352,                0.23806,                0.86407,              0.0071686,              0.0071686,              0.0071686
                    145,                0.40279,                0.34932,                0.98243,                0.97592,                0.98661,                0.99096,                0.96455,                0.28373,                0.23127,                0.86581,              0.0071488,              0.0071488,              0.0071488
                    146,                0.40145,                 0.3345,                0.97457,                0.98852,                0.97881,                0.99298,                 0.9679,                0.27522,                0.22182,                0.86106,               0.007129,               0.007129,               0.007129
                    147,                0.38588,                0.33335,                0.94873,                0.99179,                0.96723,                0.99231,                 0.9678,                0.27302,                 0.2254,                0.85932,              0.0071092,              0.0071092,              0.0071092
                    148,                0.38124,                 0.3234,                0.94846,                0.96837,                0.98903,                0.99151,                 0.9661,                0.27116,                0.22162,                 0.8566,              0.0070894,              0.0070894,              0.0070894
                    149,                 0.3983,                0.35486,                0.97989,                0.99253,                0.97767,                0.99321,                0.96609,                0.28074,                0.21406,                0.86384,              0.0070696,              0.0070696,              0.0070696
                    150,                0.40541,                0.34888,                0.97309,                0.97831,                0.98279,                0.99315,                0.96426,                0.27398,                0.21621,                0.85713,              0.0070498,              0.0070498,              0.0070498
                    151,                0.40518,                0.33106,                0.97608,                0.98143,                0.98178,                0.99361,                0.97023,                0.28591,                 0.2219,                  0.868,                0.00703,                0.00703,                0.00703
                    152,                0.39066,                0.32319,                0.96873,                0.97669,                0.98201,                 0.9937,                0.96662,                0.28962,                0.21885,                 0.8698,              0.0070102,              0.0070102,              0.0070102
                    153,                0.40225,                0.32756,                0.96998,                0.98308,                0.98058,                 0.9936,                0.96803,                0.28908,                0.23033,                0.87297,              0.0069904,              0.0069904,              0.0069904
